country,title,rating,release_year,rank_in_country
Austria,The Strange House,TV-MA,2020,1
Austria,What We Wanted,TV-MA,2020,2
Austria,Joy,TV-MA,2019,3
Austria,The Ivory Game,TV-14,2016,4
Austria,MindGamers,R,2017,5
"Bulgaria, United States",Acts of Vengeance,R,2017,1
"Bulgaria, United States",Bullet Head,R,2017,2
"Bulgaria, United States",Boyka: Undisputed,R,2016,3
"Canada, South Africa",Table Manners,TV-MA,2018,1
"Canada, South Africa",Love Jacked,PG-13,2018,2
"Canada, Spain",Menorca,TV-MA,2016,1
"Chile, France",The Blind Christ,TV-MA,2016,1
"France, Australia, Germany",Heidi,TV-Y7,2020,1
"France, Canada, China, Cambodia",Enter the Warriors Gate,PG-13,2016,1
"France, China, Japan, United States",Dr. Seuss' The Grinch,PG,2018,1
"Ireland, South Africa",The Siege of Jadotville,TV-MA,2016,1
"Israel, Germany",The Cakemaker,TV-14,2017,1
"Italy, Germany",Gomorrah,TV-MA,2016,1
"Netherlands, Belgium, Germany, Jordan",Layla M.,TV-MA,2016,1
"Norway, Iceland, United States",22 July,R,2018,1
